Name	Start	Duration	Time Format	Type	Description
ラングとパロール	36:22.908	0:00.000	decimal	Cue	
弱母音と強母音	34:14.300	0:00.000	decimal	Cue	
ネイティブの感覚	32:10.000	0:00.000	decimal	Cue	
苦戦する英単語	28:42.240	0:00.000	decimal	Cue	
THとSの発音	27:01.500	0:00.000	decimal	Cue	
HARDとHEARDの発音	24:44.483	0:00.000	decimal	Cue	
強い気持ち	18:34.000	0:00.000	decimal	Cue	
英語ハンパ勢	13:52.017	0:00.000	decimal	Cue	
英語のクセがつよい	11:05.036	0:00.000	decimal	Cue	
「ただしい」英語	8:46.052	0:00.000	decimal	Cue	
スラング	7:08.879	0:00.000	decimal	Cue	
国際色豊か	5:25.791	0:00.000	decimal	Cue	
スラングとアクセントに慣れる	2:31.378	0:00.000	decimal	Cue	
ダンケシェンがどんどん上手くなる	0:00.000	0:00.000	decimal	Cue	
