Name	Start	Duration	Time Format	Type	Description
総括	1:48:07.929	0:00.000	decimal	Cue	
W杯	1:43:46.770	0:00.000	decimal	Cue	
持ち越す選手	1:35:15.911	0:00.000	decimal	Cue	
過去の結果	1:24:06.650	0:00.000	decimal	Cue	
FW	1:20:27.712	0:00.000	decimal	Cue	
MF	1:18:19.193	0:00.000	decimal	Cue	
DF	1:15:44.456	0:00.000	decimal	Cue	
GK	1:14:12.349	0:00.000	decimal	Cue	
チーム編成	1:08:08.988	0:00.000	decimal	Cue	
MPG	1:01:52.766	0:00.000	decimal	Cue	
近藤に	1:00:12.077	0:00.000	decimal	Cue	
新郎の締めの言葉	57:14.746	0:00.000	decimal	Cue	
中学校からの友達と	52:55.441	0:00.000	decimal	Cue	
結婚式終わって	44:01.561	0:00.000	decimal	Cue	
２次会	39:11.307	0:00.000	decimal	Cue	
会場	28:58.798	0:00.000	decimal	Cue	
スピーチ	19:21.572	0:00.000	decimal	Cue	
式	15:55.780	0:00.000	decimal	Cue	
個人的な準備	12:33.700	0:00.000	decimal	Cue	
準備	3:42.246	0:00.000	decimal	Cue	
Yonehara結婚式	0:00.000	0:00.000	decimal	Cue	
