Name	Start	Duration	Time Format	Type	Description
Haluya打線	43:36.926	0:00.000	decimal	Cue	
ドイツの大学は3年間	41:48.317	0:00.000	decimal	Cue	
考古学	34:08.143	0:00.000	decimal	Cue	
言語学専攻・考古学副専攻	27:33.812	0:00.000	decimal	Cue	
バイリンガルの幼少期	22:04.199	0:00.000	decimal	Cue	
ドイツ国鉄	19:47.398	0:00.000	decimal	Cue	
英語とドイツ語の違い	13:12.354	0:00.000	decimal	Cue	
ラグ解消	12:43.719	0:00.000	decimal	Cue	
ラグ発生	11:20.000	0:00.000	decimal	Cue	
1年半でドイツ語C1に	6:51.057	0:00.000	decimal	Cue	
Claraは何しにドイツへ	4:11.172	0:00.000	decimal	Cue	
Haluyaは何しにドイツへ	2:11.671	0:00.000	decimal	Cue	
ボンと日本コミュニティ	0:00.000	0:00.000	decimal	Cue	
