Name	Start	Duration	Time Format	Type	Description
楽観的	1:48:04.605	0:00.000	decimal	Cue	
「W杯一緒にいく？」	1:43:05.484	0:00.000	decimal	Cue	
コンテンツ	1:39:27.446	0:00.000	decimal	Cue	
地元の人と研究の話	1:37:25.118	0:00.000	decimal	Cue	
現場に立つ	1:26:40.000	0:00.000	decimal	Cue	
受け売りの人生	1:12:22.802	0:00.000	decimal	Cue	
podcast	1:05:52.282	0:00.000	decimal	Cue	
言葉への拘り	59:32.969	0:00.000	decimal	Cue	
暇だけど暇じゃない	45:46.334	0:00.000	decimal	Cue	
博士課程の軸	41:11.053	0:00.000	decimal	Cue	
Katashinの今後	34:02.083	0:00.000	decimal	Cue	
日本の博士	29:01.876	0:00.000	decimal	Cue	
初回登場: 2年前からの変化	21:43.208	0:00.000	decimal	Cue	
語学	13:41.147	0:00.000	decimal	Cue	
研究	5:58.676	0:00.000	decimal	Cue	
子育て	0:00.000	0:00.000	decimal	Cue	
