Name	Start	Duration	Time Format	Type	Description
屈辱的な陰性テスト	1:34:45.986	0:00.000	decimal	Cue	
Uesho独壇場	1:29:01.702	0:00.000	decimal	Cue	
さいたまのつながり	1:08:02.545	0:00.000	decimal	Cue	
うなぎおごってくれるって	1:07:29.370	0:00.000	decimal	Cue	
SAITAMA CITY STYLE	57:40.000	0:00.000	decimal	Cue	
守破離と宗教	48:45.201	0:00.000	decimal	Cue	
知れば知るほど知りたくない	27:51.753	0:00.000	decimal	Cue	
博士課程に縛られる	18:20.800	0:00.000	decimal	Cue	
年をとった話	8:32.024	0:00.000	decimal	Cue	
ダイエットはじめました	2:35.290	0:00.000	decimal	Cue	
ロン毛	0:00.000	0:00.000	decimal	Cue	
