Name	Start	Duration	Time Format	Type	Description
愛とは何か	0:00.000	0:00.000	decimal	Cue	
愛を感じる瞬間	8:38.207	0:00.000	decimal	Cue	
性の目覚め	20:59.061	0:00.000	decimal	Cue	
好きとは	34:02.124	0:00.000	decimal	Cue	
ナンパとは	40:10.719	0:00.000	decimal	Cue	
マッチングアプリ	44:09.061	0:00.000	decimal	Cue	
結婚	48:52.046	0:00.000	decimal	Cue	
精子強い	1:08:56.061	0:00.000	decimal	Cue	
子ども作りたい？	1:14:51.143	0:00.000	decimal	Cue	
性のお悩み	1:29:40.910	0:00.000	decimal	Cue	
不妊とローカルウォーミング	1:45:42.785	0:00.000	decimal	Cue	
エンディング	1:51:44.676	0:00.000	decimal	Cue	
