Name	Start	Duration	Time Format	Type	Description
史上最強の自分	0:00.000	0:00.000	decimal	Cue	
フィットネス支部	4:11.744	0:00.000	decimal	Cue	
朝飯	10:07.766	0:00.000	decimal	Cue	
浦和のランニングコース	17:20.000	0:00.000	decimal	Cue	
Le Sserafim	21:48.342	0:00.000	decimal	Cue	
ジム	32:03.455	0:00.000	decimal	Cue	
KPOP	37:26.377	0:00.000	decimal	Cue	
韓国語学習	40:11.758	0:00.000	decimal	Cue	
言語で変わる性格	56:10.012	0:00.000	decimal	Cue	
旅行・アートメイク	1:06:26.751	0:00.000	decimal	Cue	
韓国の文化	1:11:40.000	0:00.000	decimal	Cue	
エンディング	1:37:32.885	0:00.000	decimal	Cue	
