Name	Start	Duration	Time Format	Type	Description
健太編	0:00.000	0:00.000	decimal	Cue	
一 プロサッカーコーチとの出会い	3:43.556	0:00.000	decimal	Cue	
二 大学サッカーで始めた一人一役制	7:31.556	0:00.000	decimal	Cue	
三 ロサンゼルスへの短期留学	21:00.349	0:00.000	decimal	Cue	
四 今起こってることはすべて必要で必然でベスト	29:03.711	0:00.000	decimal	Cue	
五 はじまりのドイツ一年目	32:54.096	0:00.000	decimal	Cue	
六 怒涛の二年目	46:47.847	0:00.000	decimal	Cue	
七 忍耐の三年目	58:01.206	0:00.000	decimal	Cue	
八 転機の四年目	1:07:05.750	0:00.000	decimal	Cue	
チームに入ることの大事さ	1:11:42.364	0:00.000	decimal	Cue	
九 経験の五年目	1:17:38.290	0:00.000	decimal	Cue	
ドイツの見え方の変化	1:23:04.881	0:00.000	decimal	Cue	
振り返り	1:34:28.477	0:00.000	decimal	Cue	
