Name	Start	Duration	Time Format	Type	Description
コンドーとエマ・ワトソン	1:16:53.555	0:00.000	decimal	Cue	
ハリーポッタードラマ化	1:05:56.186	0:00.000	decimal	Cue	
ゲーム・オブ・スローンズアニメ化	59:31.412	0:00.000	decimal	Cue	
オンライン授業サボりバレる	45:57.692	0:00.000	decimal	Cue	
毒殺・フェンタニル	28:13.754	0:00.000	decimal	Cue	
節分・うみの杜水族館	15:18.431	0:00.000	decimal	Cue	
HWN: Hot Week News	11:29.988	0:00.000	decimal	Cue	
おたより③	7:23.259	0:00.000	decimal	Cue	
おたより③	4:53.662	0:00.000	decimal	Cue	
おたより②	3:15.721	0:00.000	decimal	Cue	
おたより① 日向坂よりオードリーさんから	0:01.500	0:00.000	decimal	Cue	
