Name	Start	Duration	Time Format	Type	Description
W杯	1:56:58.480	0:00.000	decimal	Cue	
糸	1:51:03.300	0:00.000	decimal	Cue	
海外に住む	1:44:08.352	0:00.000	decimal	Cue	
元気な地元	1:33:22.164	0:00.000	decimal	Cue	
結婚式での手紙	1:25:15.443	0:00.000	decimal	Cue	
駒込時代	1:22:52.476	0:00.000	decimal	Cue	
結婚は勢い	1:17:20.947	0:00.000	decimal	Cue	
結婚と付き合う	59:03.494	0:00.000	decimal	Cue	
ウェルカムスペース	41:25.733	0:00.000	decimal	Cue	
プラニング	35:45.482	0:00.000	decimal	Cue	
結婚式会場決め	24:42.797	0:00.000	decimal	Cue	
涙腺おかしい	17:03.911	0:00.000	decimal	Cue	
恐竜	13:01.866	0:00.000	decimal	Cue	
映画・ドラマ	0:00.000	0:00.000	decimal	Cue	
